"year","quarter","day_of_week_num","hour_of_day","attribute_name","attribute_value","n_obs","probability"
"2025","1","1","0","acuity","1","2","0.0351"
"2025","1","1","0","acuity","2","18","0.3158"
"2025","1","1","0","acuity","3","33","0.5789"
"2025","1","1","0","acuity","4","3","0.0526"
"2025","1","1","0","acuity","5","1","0.0175"
"2025","1","1","0","age_group","18-64","38","0.6667"
"2025","1","1","0","age_group","65-84","14","0.2456"
"2025","1","1","0","age_group","85+","2","0.0351"
"2025","1","1","0","age_group","<18","3","0.0526"
"2025","1","1","0","arrival_mode","ground_ambulance","16","0.2807"
"2025","1","1","0","arrival_mode","self_presented","41","0.7193"
"2025","1","1","0","behavioral_health_flag","0","57","1.0000"
"2025","1","1","0","complexity_bucket","critical_care","9","0.1579"
"2025","1","1","0","complexity_bucket","high","28","0.4912"
"2025","1","1","0","complexity_bucket","low","6","0.1053"
"2025","1","1","0","complexity_bucket","moderate","13","0.2281"
"2025","1","1","0","complexity_bucket","straightforward","1","0.0175"
"2025","1","1","1","acuity","1","1","0.0159"
"2025","1","1","1","acuity","2","18","0.2857"
"2025","1","1","1","acuity","3","34","0.5397"
"2025","1","1","1","acuity","4","7","0.1111"
"2025","1","1","1","acuity","5","3","0.0476"
"2025","1","1","1","age_group","18-64","49","0.7778"
"2025","1","1","1","age_group","65-84","8","0.1270"
"2025","1","1","1","age_group","85+","4","0.0635"
"2025","1","1","1","age_group","<18","2","0.0317"
"2025","1","1","1","arrival_mode","ground_ambulance","19","0.3016"
"2025","1","1","1","arrival_mode","self_presented","44","0.6984"
"2025","1","1","1","behavioral_health_flag","0","62","0.9841"
"2025","1","1","1","behavioral_health_flag","1","1","0.0159"
"2025","1","1","1","complexity_bucket","critical_care","9","0.1429"
"2025","1","1","1","complexity_bucket","high","34","0.5397"
"2025","1","1","1","complexity_bucket","low","6","0.0952"
"2025","1","1","1","complexity_bucket","moderate","10","0.1587"
"2025","1","1","1","complexity_bucket","UNKNOWN","4","0.0635"
"2025","1","1","2","acuity","1","1","0.0213"
"2025","1","1","2","acuity","2","14","0.2979"
"2025","1","1","2","acuity","3","25","0.5319"
"2025","1","1","2","acuity","4","5","0.1064"
"2025","1","1","2","acuity","5","2","0.0426"
"2025","1","1","2","age_group","18-64","33","0.7021"
"2025","1","1","2","age_group","65-84","7","0.1489"
"2025","1","1","2","age_group","85+","5","0.1064"
"2025","1","1","2","age_group","<18","2","0.0426"
"2025","1","1","2","arrival_mode","ground_ambulance","10","0.2128"
"2025","1","1","2","arrival_mode","police_custody","1","0.0213"
"2025","1","1","2","arrival_mode","self_presented","36","0.7660"
"2025","1","1","2","behavioral_health_flag","0","44","0.9362"
"2025","1","1","2","behavioral_health_flag","1","3","0.0638"
"2025","1","1","2","complexity_bucket","critical_care","3","0.0638"
"2025","1","1","2","complexity_bucket","high","26","0.5532"
"2025","1","1","2","complexity_bucket","low","7","0.1489"
"2025","1","1","2","complexity_bucket","minimal","1","0.0213"
"2025","1","1","2","complexity_bucket","moderate","7","0.1489"
"2025","1","1","2","complexity_bucket","straightforward","1","0.0213"
"2025","1","1","2","complexity_bucket","UNKNOWN","2","0.0426"
"2025","1","1","3","acuity","1","1","0.0278"
"2025","1","1","3","acuity","2","12","0.3333"
"2025","1","1","3","acuity","3","21","0.5833"
"2025","1","1","3","acuity","4","1","0.0278"
"2025","1","1","3","acuity","5","1","0.0278"
"2025","1","1","3","age_group","18-64","29","0.8056"
"2025","1","1","3","age_group","65-84","4","0.1111"
"2025","1","1","3","age_group","85+","2","0.0556"
"2025","1","1","3","age_group","<18","1","0.0278"
"2025","1","1","3","arrival_mode","ground_ambulance","10","0.2778"
"2025","1","1","3","arrival_mode","self_presented","26","0.7222"
"2025","1","1","3","behavioral_health_flag","0","34","0.9444"
"2025","1","1","3","behavioral_health_flag","1","2","0.0556"
"2025","1","1","3","complexity_bucket","critical_care","2","0.0556"
"2025","1","1","3","complexity_bucket","high","24","0.6667"
"2025","1","1","3","complexity_bucket","low","5","0.1389"
"2025","1","1","3","complexity_bucket","moderate","4","0.1111"
"2025","1","1","3","complexity_bucket","UNKNOWN","1","0.0278"
"2025","1","1","4","acuity","2","9","0.2250"
"2025","1","1","4","acuity","3","25","0.6250"
"2025","1","1","4","acuity","4","3","0.0750"
"2025","1","1","4","acuity","5","2","0.0500"
"2025","1","1","4","acuity","UNKNOWN","1","0.0250"
"2025","1","1","4","age_group","18-64","27","0.6750"
"2025","1","1","4","age_group","65-84","9","0.2250"
"2025","1","1","4","age_group","85+","1","0.0250"
"2025","1","1","4","age_group","<18","3","0.0750"
"2025","1","1","4","arrival_mode","ground_ambulance","6","0.1500"
"2025","1","1","4","arrival_mode","self_presented","34","0.8500"
"2025","1","1","4","behavioral_health_flag","0","40","1.0000"
"2025","1","1","4","complexity_bucket","critical_care","5","0.1250"
"2025","1","1","4","complexity_bucket","high","15","0.3750"
"2025","1","1","4","complexity_bucket","low","6","0.1500"
"2025","1","1","4","complexity_bucket","moderate","12","0.3000"
"2025","1","1","4","complexity_bucket","straightforward","1","0.0250"
"2025","1","1","4","complexity_bucket","UNKNOWN","1","0.0250"
"2025","1","1","5","acuity","2","10","0.2500"
"2025","1","1","5","acuity","3","25","0.6250"
"2025","1","1","5","acuity","4","5","0.1250"
"2025","1","1","5","age_group","18-64","32","0.8000"
"2025","1","1","5","age_group","65-84","5","0.1250"
"2025","1","1","5","age_group","85+","2","0.0500"
"2025","1","1","5","age_group","<18","1","0.0250"
"2025","1","1","5","arrival_mode","ground_ambulance","9","0.2250"
"2025","1","1","5","arrival_mode","self_presented","31","0.7750"
"2025","1","1","5","behavioral_health_flag","0","40","1.0000"
"2025","1","1","5","complexity_bucket","critical_care","3","0.0750"
"2025","1","1","5","complexity_bucket","high","19","0.4750"
"2025","1","1","5","complexity_bucket","low","4","0.1000"
"2025","1","1","5","complexity_bucket","moderate","11","0.2750"
"2025","1","1","5","complexity_bucket","straightforward","1","0.0250"
"2025","1","1","5","complexity_bucket","UNKNOWN","2","0.0500"
"2025","1","1","6","acuity","2","9","0.3000"
"2025","1","1","6","acuity","3","17","0.5667"
"2025","1","1","6","acuity","4","4","0.1333"
"2025","1","1","6","age_group","18-64","23","0.7667"
"2025","1","1","6","age_group","65-84","7","0.2333"
"2025","1","1","6","arrival_mode","ground_ambulance","8","0.2667"
"2025","1","1","6","arrival_mode","self_presented","22","0.7333"
"2025","1","1","6","behavioral_health_flag","0","28","0.9333"
"2025","1","1","6","behavioral_health_flag","1","2","0.0667"
"2025","1","1","6","complexity_bucket","high","20","0.6667"
"2025","1","1","6","complexity_bucket","moderate","8","0.2667"
"2025","1","1","6","complexity_bucket","straightforward","1","0.0333"
"2025","1","1","6","complexity_bucket","UNKNOWN","1","0.0333"
"2025","1","1","7","acuity","1","1","0.0192"
"2025","1","1","7","acuity","2","9","0.1731"
"2025","1","1","7","acuity","3","31","0.5962"
"2025","1","1","7","acuity","4","11","0.2115"
"2025","1","1","7","age_group","18-64","36","0.6923"
"2025","1","1","7","age_group","65-84","14","0.2692"
"2025","1","1","7","age_group","85+","2","0.0385"
"2025","1","1","7","arrival_mode","ground_ambulance","8","0.1538"
"2025","1","1","7","arrival_mode","self_presented","44","0.8462"
"2025","1","1","7","behavioral_health_flag","0","52","1.0000"
"2025","1","1","7","complexity_bucket","critical_care","5","0.0962"
"2025","1","1","7","complexity_bucket","high","28","0.5385"
"2025","1","1","7","complexity_bucket","low","5","0.0962"
"2025","1","1","7","complexity_bucket","moderate","12","0.2308"
"2025","1","1","7","complexity_bucket","straightforward","2","0.0385"
"2025","1","1","8","acuity","1","1","0.0100"
"2025","1","1","8","acuity","2","29","0.2900"
"2025","1","1","8","acuity","3","53","0.5300"
"2025","1","1","8","acuity","4","16","0.1600"
"2025","1","1","8","acuity","5","1","0.0100"
"2025","1","1","8","age_group","18-64","74","0.7400"
"2025","1","1","8","age_group","65-84","19","0.1900"
"2025","1","1","8","age_group","85+","3","0.0300"
"2025","1","1","8","age_group","<18","4","0.0400"
"2025","1","1","8","arrival_mode","ground_ambulance","12","0.1200"
"2025","1","1","8","arrival_mode","self_presented","88","0.8800"
"2025","1","1","8","behavioral_health_flag","0","93","0.9300"
"2025","1","1","8","behavioral_health_flag","1","7","0.0700"
"2025","1","1","8","complexity_bucket","critical_care","8","0.0800"
"2025","1","1","8","complexity_bucket","high","44","0.4400"
"2025","1","1","8","complexity_bucket","low","23","0.2300"
"2025","1","1","8","complexity_bucket","moderate","22","0.2200"
"2025","1","1","8","complexity_bucket","straightforward","2","0.0200"
"2025","1","1","8","complexity_bucket","UNKNOWN","1","0.0100"
"2025","1","1","9","acuity","2","29","0.2148"
"2025","1","1","9","acuity","3","81","0.6000"
"2025","1","1","9","acuity","4","24","0.1778"
"2025","1","1","9","acuity","5","1","0.0074"
"2025","1","1","9","age_group","18-64","89","0.6593"
"2025","1","1","9","age_group","65-84","34","0.2519"
"2025","1","1","9","age_group","85+","5","0.0370"
"2025","1","1","9","age_group","<18","7","0.0519"
"2025","1","1","9","arrival_mode","ground_ambulance","20","0.1481"
"2025","1","1","9","arrival_mode","self_presented","115","0.8519"
"2025","1","1","9","behavioral_health_flag","0","133","0.9852"
"2025","1","1","9","behavioral_health_flag","1","2","0.0148"
"2025","1","1","9","complexity_bucket","critical_care","7","0.0519"
"2025","1","1","9","complexity_bucket","high","69","0.5111"
"2025","1","1","9","complexity_bucket","low","19","0.1407"
"2025","1","1","9","complexity_bucket","minimal","1","0.0074"
"2025","1","1","9","complexity_bucket","moderate","29","0.2148"
"2025","1","1","9","complexity_bucket","straightforward","6","0.0444"
"2025","1","1","9","complexity_bucket","UNKNOWN","4","0.0296"
"2025","1","1","10","acuity","1","1","0.0055"
"2025","1","1","10","acuity","2","55","0.3005"
"2025","1","1","10","acuity","3","88","0.4809"
"2025","1","1","10","acuity","4","32","0.1749"
"2025","1","1","10","acuity","5","4","0.0219"
"2025","1","1","10","acuity","UNKNOWN","3","0.0164"
"2025","1","1","10","age_group","18-64","125","0.6831"
"2025","1","1","10","age_group","65-84","42","0.2295"
"2025","1","1","10","age_group","85+","8","0.0437"
"2025","1","1","10","age_group","<18","6","0.0328"
"2025","1","1","10","age_group","UNKNOWN","2","0.0109"
"2025","1","1","10","arrival_mode","ground_ambulance","26","0.1421"
"2025","1","1","10","arrival_mode","police_custody","1","0.0055"
"2025","1","1","10","arrival_mode","self_presented","156","0.8525"
"2025","1","1","10","behavioral_health_flag","0","181","0.9891"
"2025","1","1","10","behavioral_health_flag","1","2","0.0109"
"2025","1","1","10","complexity_bucket","critical_care","21","0.1148"
"2025","1","1","10","complexity_bucket","high","86","0.4699"
"2025","1","1","10","complexity_bucket","low","32","0.1749"
"2025","1","1","10","complexity_bucket","moderate","35","0.1913"
"2025","1","1","10","complexity_bucket","straightforward","4","0.0219"
"2025","1","1","10","complexity_bucket","UNKNOWN","5","0.0273"
"2025","1","1","11","acuity","2","72","0.3892"
"2025","1","1","11","acuity","3","73","0.3946"
"2025","1","1","11","acuity","4","33","0.1784"
"2025","1","1","11","acuity","5","2","0.0108"
"2025","1","1","11","acuity","UNKNOWN","5","0.0270"
"2025","1","1","11","age_group","18-64","121","0.6541"
"2025","1","1","11","age_group","65-84","48","0.2595"
"2025","1","1","11","age_group","85+","8","0.0432"
"2025","1","1","11","age_group","<18","6","0.0324"
"2025","1","1","11","age_group","UNKNOWN","2","0.0108"
"2025","1","1","11","arrival_mode","ground_ambulance","23","0.1243"
"2025","1","1","11","arrival_mode","self_presented","162","0.8757"
"2025","1","1","11","behavioral_health_flag","0","183","0.9892"
"2025","1","1","11","behavioral_health_flag","1","2","0.0108"
"2025","1","1","11","complexity_bucket","critical_care","11","0.0595"
"2025","1","1","11","complexity_bucket","high","85","0.4595"
"2025","1","1","11","complexity_bucket","low","27","0.1459"
"2025","1","1","11","complexity_bucket","moderate","49","0.2649"
"2025","1","1","11","complexity_bucket","straightforward","8","0.0432"
"2025","1","1","11","complexity_bucket","UNKNOWN","5","0.0270"
"2025","1","1","12","acuity","1","1","0.0060"
"2025","1","1","12","acuity","2","45","0.2695"
"2025","1","1","12","acuity","3","102","0.6108"
"2025","1","1","12","acuity","4","16","0.0958"
"2025","1","1","12","acuity","UNKNOWN","3","0.0180"
"2025","1","1","12","age_group","18-64","115","0.6886"
"2025","1","1","12","age_group","65-84","35","0.2096"
"2025","1","1","12","age_group","85+","8","0.0479"
"2025","1","1","12","age_group","<18","7","0.0419"
"2025","1","1","12","age_group","UNKNOWN","2","0.0120"
"2025","1","1","12","arrival_mode","ground_ambulance","20","0.1198"
"2025","1","1","12","arrival_mode","self_presented","147","0.8802"
"2025","1","1","12","behavioral_health_flag","0","164","0.9820"
"2025","1","1","12","behavioral_health_flag","1","3","0.0180"
"2025","1","1","12","complexity_bucket","critical_care","15","0.0898"
"2025","1","1","12","complexity_bucket","high","75","0.4491"
"2025","1","1","12","complexity_bucket","low","27","0.1617"
"2025","1","1","12","complexity_bucket","minimal","1","0.0060"
"2025","1","1","12","complexity_bucket","moderate","39","0.2335"
"2025","1","1","12","complexity_bucket","straightforward","4","0.0240"
"2025","1","1","12","complexity_bucket","UNKNOWN","6","0.0359"
"2025","1","1","13","acuity","1","2","0.0116"
"2025","1","1","13","acuity","2","45","0.2616"
"2025","1","1","13","acuity","3","91","0.5291"
"2025","1","1","13","acuity","4","31","0.1802"
"2025","1","1","13","acuity","5","2","0.0116"
"2025","1","1","13","acuity","UNKNOWN","1","0.0058"
"2025","1","1","13","age_group","18-64","114","0.6628"
"2025","1","1","13","age_group","65-84","45","0.2616"
"2025","1","1","13","age_group","85+","5","0.0291"
"2025","1","1","13","age_group","<18","7","0.0407"
"2025","1","1","13","age_group","UNKNOWN","1","0.0058"
"2025","1","1","13","arrival_mode","ground_ambulance","19","0.1105"
"2025","1","1","13","arrival_mode","police_custody","1","0.0058"
"2025","1","1","13","arrival_mode","self_presented","152","0.8837"
"2025","1","1","13","behavioral_health_flag","0","169","0.9826"
"2025","1","1","13","behavioral_health_flag","1","3","0.0174"
"2025","1","1","13","complexity_bucket","critical_care","13","0.0756"
"2025","1","1","13","complexity_bucket","high","71","0.4128"
"2025","1","1","13","complexity_bucket","low","35","0.2035"
"2025","1","1","13","complexity_bucket","minimal","2","0.0116"
"2025","1","1","13","complexity_bucket","moderate","43","0.2500"
"2025","1","1","13","complexity_bucket","straightforward","7","0.0407"
"2025","1","1","13","complexity_bucket","UNKNOWN","1","0.0058"
"2025","1","1","14","acuity","2","38","0.2901"
"2025","1","1","14","acuity","3","78","0.5954"
"2025","1","1","14","acuity","4","15","0.1145"
"2025","1","1","14","age_group","18-64","97","0.7405"
"2025","1","1","14","age_group","65-84","27","0.2061"
"2025","1","1","14","age_group","85+","4","0.0305"
"2025","1","1","14","age_group","<18","3","0.0229"
"2025","1","1","14","arrival_mode","ground_ambulance","20","0.1527"
"2025","1","1","14","arrival_mode","self_presented","111","0.8473"
"2025","1","1","14","behavioral_health_flag","0","123","0.9389"
"2025","1","1","14","behavioral_health_flag","1","8","0.0611"
"2025","1","1","14","complexity_bucket","critical_care","9","0.0687"
"2025","1","1","14","complexity_bucket","high","58","0.4427"
"2025","1","1","14","complexity_bucket","low","24","0.1832"
"2025","1","1","14","complexity_bucket","minimal","1","0.0076"
"2025","1","1","14","complexity_bucket","moderate","29","0.2214"
"2025","1","1","14","complexity_bucket","straightforward","6","0.0458"
"2025","1","1","14","complexity_bucket","UNKNOWN","4","0.0305"
"2025","1","1","15","acuity","2","45","0.3000"
"2025","1","1","15","acuity","3","70","0.4667"
"2025","1","1","15","acuity","4","29","0.1933"
"2025","1","1","15","acuity","5","1","0.0067"
"2025","1","1","15","acuity","UNKNOWN","5","0.0333"
"2025","1","1","15","age_group","18-64","101","0.6733"
"2025","1","1","15","age_group","65-84","34","0.2267"
"2025","1","1","15","age_group","85+","6","0.0400"
"2025","1","1","15","age_group","<18","4","0.0267"
"2025","1","1","15","age_group","UNKNOWN","5","0.0333"
"2025","1","1","15","arrival_mode","ground_ambulance","13","0.0867"
"2025","1","1","15","arrival_mode","self_presented","137","0.9133"
"2025","1","1","15","behavioral_health_flag","0","145","0.9667"
"2025","1","1","15","behavioral_health_flag","1","5","0.0333"
"2025","1","1","15","complexity_bucket","critical_care","5","0.0333"
"2025","1","1","15","complexity_bucket","high","65","0.4333"
"2025","1","1","15","complexity_bucket","low","33","0.2200"
"2025","1","1","15","complexity_bucket","moderate","36","0.2400"
"2025","1","1","15","complexity_bucket","straightforward","5","0.0333"
"2025","1","1","15","complexity_bucket","UNKNOWN","6","0.0400"
"2025","1","1","16","acuity","1","2","0.0143"
"2025","1","1","16","acuity","2","37","0.2643"
"2025","1","1","16","acuity","3","76","0.5429"
"2025","1","1","16","acuity","4","21","0.1500"
"2025","1","1","16","acuity","5","1","0.0071"
"2025","1","1","16","acuity","UNKNOWN","3","0.0214"
"2025","1","1","16","age_group","18-64","98","0.7000"
"2025","1","1","16","age_group","65-84","32","0.2286"
"2025","1","1","16","age_group","85+","2","0.0143"
"2025","1","1","16","age_group","<18","6","0.0429"
"2025","1","1","16","age_group","UNKNOWN","2","0.0143"
"2025","1","1","16","arrival_mode","ground_ambulance","20","0.1429"
"2025","1","1","16","arrival_mode","self_presented","120","0.8571"
"2025","1","1","16","behavioral_health_flag","0","136","0.9714"
"2025","1","1","16","behavioral_health_flag","1","4","0.0286"
"2025","1","1","16","complexity_bucket","critical_care","5","0.0357"
"2025","1","1","16","complexity_bucket","high","67","0.4786"
"2025","1","1","16","complexity_bucket","low","17","0.1214"
"2025","1","1","16","complexity_bucket","minimal","1","0.0071"
"2025","1","1","16","complexity_bucket","moderate","41","0.2929"
"2025","1","1","16","complexity_bucket","straightforward","3","0.0214"
"2025","1","1","16","complexity_bucket","UNKNOWN","6","0.0429"
"2025","1","1","17","acuity","2","41","0.2828"
"2025","1","1","17","acuity","3","82","0.5655"
"2025","1","1","17","acuity","4","20","0.1379"
"2025","1","1","17","acuity","UNKNOWN","2","0.0138"
"2025","1","1","17","age_group","18-64","96","0.6621"
"2025","1","1","17","age_group","65-84","39","0.2690"
"2025","1","1","17","age_group","85+","6","0.0414"
"2025","1","1","17","age_group","<18","3","0.0207"
"2025","1","1","17","age_group","UNKNOWN","1","0.0069"
"2025","1","1","17","arrival_mode","ground_ambulance","27","0.1862"
"2025","1","1","17","arrival_mode","other_unknown","1","0.0069"
"2025","1","1","17","arrival_mode","self_presented","117","0.8069"
"2025","1","1","17","behavioral_health_flag","0","141","0.9724"
"2025","1","1","17","behavioral_health_flag","1","4","0.0276"
"2025","1","1","17","complexity_bucket","critical_care","9","0.0621"
"2025","1","1","17","complexity_bucket","high","74","0.5103"
"2025","1","1","17","complexity_bucket","low","31","0.2138"
"2025","1","1","17","complexity_bucket","moderate","27","0.1862"
"2025","1","1","17","complexity_bucket","straightforward","2","0.0138"
"2025","1","1","17","complexity_bucket","UNKNOWN","2","0.0138"
"2025","1","1","18","acuity","1","1","0.0069"
"2025","1","1","18","acuity","2","32","0.2207"
"2025","1","1","18","acuity","3","86","0.5931"
"2025","1","1","18","acuity","4","22","0.1517"
"2025","1","1","18","acuity","5","2","0.0138"
"2025","1","1","18","acuity","UNKNOWN","2","0.0138"
"2025","1","1","18","age_group","18-64","98","0.6759"
"2025","1","1","18","age_group","65-84","33","0.2276"
"2025","1","1","18","age_group","85+","6","0.0414"
"2025","1","1","18","age_group","<18","6","0.0414"
"2025","1","1","18","age_group","UNKNOWN","2","0.0138"
"2025","1","1","18","arrival_mode","ground_ambulance","29","0.2000"
"2025","1","1","18","arrival_mode","self_presented","116","0.8000"
"2025","1","1","18","behavioral_health_flag","0","138","0.9517"
"2025","1","1","18","behavioral_health_flag","1","7","0.0483"
"2025","1","1","18","complexity_bucket","critical_care","11","0.0759"
"2025","1","1","18","complexity_bucket","high","64","0.4414"
"2025","1","1","18","complexity_bucket","low","20","0.1379"
"2025","1","1","18","complexity_bucket","minimal","1","0.0069"
"2025","1","1","18","complexity_bucket","moderate","41","0.2828"
"2025","1","1","18","complexity_bucket","straightforward","4","0.0276"
"2025","1","1","18","complexity_bucket","UNKNOWN","4","0.0276"
"2025","1","1","19","acuity","1","1","0.0067"
"2025","1","1","19","acuity","2","34","0.2267"
"2025","1","1","19","acuity","3","86","0.5733"
"2025","1","1","19","acuity","4","26","0.1733"
"2025","1","1","19","acuity","UNKNOWN","3","0.0200"
"2025","1","1","19","age_group","18-64","110","0.7333"
"2025","1","1","19","age_group","65-84","28","0.1867"
"2025","1","1","19","age_group","85+","6","0.0400"
"2025","1","1","19","age_group","<18","6","0.0400"
"2025","1","1","19","arrival_mode","air_transport","1","0.0067"
"2025","1","1","19","arrival_mode","ground_ambulance","24","0.1600"
"2025","1","1","19","arrival_mode","self_presented","125","0.8333"
"2025","1","1","19","behavioral_health_flag","0","147","0.9800"
"2025","1","1","19","behavioral_health_flag","1","3","0.0200"
"2025","1","1","19","complexity_bucket","critical_care","6","0.0400"
"2025","1","1","19","complexity_bucket","high","79","0.5267"
"2025","1","1","19","complexity_bucket","low","24","0.1600"
"2025","1","1","19","complexity_bucket","moderate","32","0.2133"
"2025","1","1","19","complexity_bucket","straightforward","6","0.0400"
"2025","1","1","19","complexity_bucket","UNKNOWN","3","0.0200"
"2025","1","1","20","acuity","1","2","0.0190"
"2025","1","1","20","acuity","2","31","0.2952"
"2025","1","1","20","acuity","3","52","0.4952"
"2025","1","1","20","acuity","4","15","0.1429"
"2025","1","1","20","acuity","UNKNOWN","5","0.0476"
"2025","1","1","20","age_group","18-64","81","0.7714"
"2025","1","1","20","age_group","65-84","17","0.1619"
"2025","1","1","20","age_group","85+","3","0.0286"
"2025","1","1","20","age_group","<18","2","0.0190"
"2025","1","1","20","age_group","UNKNOWN","2","0.0190"
"2025","1","1","20","arrival_mode","ground_ambulance","17","0.1619"
"2025","1","1","20","arrival_mode","self_presented","88","0.8381"
"2025","1","1","20","behavioral_health_flag","0","101","0.9619"
"2025","1","1","20","behavioral_health_flag","1","4","0.0381"
"2025","1","1","20","complexity_bucket","critical_care","8","0.0762"
"2025","1","1","20","complexity_bucket","high","50","0.4762"
"2025","1","1","20","complexity_bucket","low","13","0.1238"
"2025","1","1","20","complexity_bucket","moderate","25","0.2381"
"2025","1","1","20","complexity_bucket","UNKNOWN","9","0.0857"
"2025","1","1","21","acuity","1","1","0.0105"
"2025","1","1","21","acuity","2","24","0.2526"
"2025","1","1","21","acuity","3","50","0.5263"
"2025","1","1","21","acuity","4","16","0.1684"
"2025","1","1","21","acuity","5","1","0.0105"
"2025","1","1","21","acuity","UNKNOWN","3","0.0316"
"2025","1","1","21","age_group","18-64","72","0.7579"
"2025","1","1","21","age_group","65-84","10","0.1053"
"2025","1","1","21","age_group","85+","2","0.0211"
"2025","1","1","21","age_group","<18","10","0.1053"
"2025","1","1","21","age_group","UNKNOWN","1","0.0105"
"2025","1","1","21","arrival_mode","ground_ambulance","12","0.1263"
"2025","1","1","21","arrival_mode","self_presented","83","0.8737"
"2025","1","1","21","behavioral_health_flag","0","92","0.9684"
"2025","1","1","21","behavioral_health_flag","1","3","0.0316"
"2025","1","1","21","complexity_bucket","critical_care","9","0.0947"
"2025","1","1","21","complexity_bucket","high","41","0.4316"
"2025","1","1","21","complexity_bucket","low","15","0.1579"
"2025","1","1","21","complexity_bucket","moderate","26","0.2737"
"2025","1","1","21","complexity_bucket","straightforward","1","0.0105"
"2025","1","1","21","complexity_bucket","UNKNOWN","3","0.0316"
"2025","1","1","22","acuity","2","14","0.1818"
"2025","1","1","22","acuity","3","49","0.6364"
"2025","1","1","22","acuity","4","13","0.1688"
"2025","1","1","22","acuity","5","1","0.0130"
"2025","1","1","22","age_group","18-64","60","0.7792"
"2025","1","1","22","age_group","65-84","13","0.1688"
"2025","1","1","22","age_group","85+","2","0.0260"
"2025","1","1","22","age_group","<18","2","0.0260"
"2025","1","1","22","arrival_mode","ground_ambulance","5","0.0649"
"2025","1","1","22","arrival_mode","self_presented","72","0.9351"
"2025","1","1","22","behavioral_health_flag","0","76","0.9870"
"2025","1","1","22","behavioral_health_flag","1","1","0.0130"
"2025","1","1","22","complexity_bucket","critical_care","2","0.0260"
"2025","1","1","22","complexity_bucket","high","39","0.5065"
"2025","1","1","22","complexity_bucket","low","13","0.1688"
"2025","1","1","22","complexity_bucket","moderate","20","0.2597"
"2025","1","1","22","complexity_bucket","straightforward","1","0.0130"
"2025","1","1","22","complexity_bucket","UNKNOWN","2","0.0260"
"2025","1","1","23","acuity","2","14","0.2295"
"2025","1","1","23","acuity","3","34","0.5574"
"2025","1","1","23","acuity","4","12","0.1967"
"2025","1","1","23","acuity","5","1","0.0164"
"2025","1","1","23","age_group","18-64","50","0.8197"
"2025","1","1","23","age_group","65-84","8","0.1311"
"2025","1","1","23","age_group","85+","1","0.0164"
"2025","1","1","23","age_group","<18","2","0.0328"
"2025","1","1","23","arrival_mode","ground_ambulance","4","0.0656"
"2025","1","1","23","arrival_mode","self_presented","57","0.9344"
"2025","1","1","23","behavioral_health_flag","0","61","1.0000"
"2025","1","1","23","complexity_bucket","critical_care","2","0.0328"
"2025","1","1","23","complexity_bucket","high","29","0.4754"
"2025","1","1","23","complexity_bucket","low","11","0.1803"
"2025","1","1","23","complexity_bucket","moderate","14","0.2295"
"2025","1","1","23","complexity_bucket","straightforward","1","0.0164"
"2025","1","1","23","complexity_bucket","UNKNOWN","4","0.0656"
"2025","1","2","0","acuity","1","1","0.0185"
"2025","1","2","0","acuity","2","10","0.1852"
"2025","1","2","0","acuity","3","36","0.6667"
"2025","1","2","0","acuity","4","6","0.1111"
"2025","1","2","0","acuity","UNKNOWN","1","0.0185"
"2025","1","2","0","age_group","18-64","43","0.7963"
"2025","1","2","0","age_group","65-84","8","0.1481"
"2025","1","2","0","age_group","85+","2","0.0370"
"2025","1","2","0","age_group","UNKNOWN","1","0.0185"
"2025","1","2","0","arrival_mode","ground_ambulance","8","0.1481"
"2025","1","2","0","arrival_mode","self_presented","46","0.8519"
"2025","1","2","0","behavioral_health_flag","0","54","1.0000"
"2025","1","2","0","complexity_bucket","critical_care","3","0.0556"
"2025","1","2","0","complexity_bucket","high","29","0.5370"
"2025","1","2","0","complexity_bucket","low","5","0.0926"
"2025","1","2","0","complexity_bucket","moderate","14","0.2593"
"2025","1","2","0","complexity_bucket","straightforward","2","0.0370"
"2025","1","2","0","complexity_bucket","UNKNOWN","1","0.0185"
"2025","1","2","1","acuity","2","9","0.2813"
"2025","1","2","1","acuity","3","18","0.5625"
"2025","1","2","1","acuity","4","4","0.1250"
"2025","1","2","1","acuity","UNKNOWN","1","0.0313"
"2025","1","2","1","age_group","18-64","25","0.7813"
"2025","1","2","1","age_group","65-84","4","0.1250"
"2025","1","2","1","age_group","85+","2","0.0625"
"2025","1","2","1","age_group","<18","1","0.0313"
"2025","1","2","1","arrival_mode","ground_ambulance","6","0.1875"
"2025","1","2","1","arrival_mode","self_presented","26","0.8125"
"2025","1","2","1","behavioral_health_flag","0","31","0.9688"
"2025","1","2","1","behavioral_health_flag","1","1","0.0313"
"2025","1","2","1","complexity_bucket","critical_care","1","0.0313"
"2025","1","2","1","complexity_bucket","high","15","0.4688"
"2025","1","2","1","complexity_bucket","low","6","0.1875"
"2025","1","2","1","complexity_bucket","moderate","8","0.2500"
"2025","1","2","1","complexity_bucket","UNKNOWN","2","0.0625"
"2025","1","2","2","acuity","2","9","0.2045"
"2025","1","2","2","acuity","3","25","0.5682"
"2025","1","2","2","acuity","4","7","0.1591"
"2025","1","2","2","acuity","5","1","0.0227"
"2025","1","2","2","acuity","UNKNOWN","2","0.0455"
"2025","1","2","2","age_group","18-64","32","0.7273"
"2025","1","2","2","age_group","65-84","5","0.1136"
